Season,Matchday,Team,Points,Rank
2019,30,Mallorca,26,18
2019,30,Espanyol,24,19
2019,30,Leganes,24,20
2019,31,Barcelona,68,1
2019,31,Real Madrid,68,2
2019,31,Atletico Madrid,55,3
2019,31,Sevilla,53,4
2019,31,Getafe,49,5
2019,31,Villarreal,48,6
2019,31,Real Sociedad,47,7
2019,31,Valencia,46,8
2019,31,Granada CF,43,9
2019,31,Athletic Club,42,10
2019,31,Levante,38,11
2019,31,Osasuna,38,12
2019,31,Real Betis,37,13
2019,31,Alaves,35,14
2019,31,Valladolid,34,15
2019,31,Celta Vigo,33,16
2019,31,Eibar,32,17
2019,31,Mallorca,26,18
2019,31,Leganes,25,19
2019,31,Espanyol,24,20
2019,32,Real Madrid,71,1
2019,32,Barcelona,69,2
2019,32,Atletico Madrid,58,3
2019,32,Sevilla,54,4
2019,32,Getafe,52,5
2019,32,Villarreal,51,6
2019,32,Real Sociedad,47,7
2019,32,Valencia,46,8
2019,32,Athletic Club,45,9
2019,32,Granada CF,43,10
2019,32,Levante,41,11
2019,32,Osasuna,41,12
2019,32,Real Betis,37,13
2019,32,Alaves,35,14
2019,32,Eibar,35,15
2019,32,Valladolid,35,16
2019,32,Celta Vigo,34,17
2019,32,Mallorca,26,18
2019,32,Leganes,25,19
2019,32,Espanyol,24,20
2019,33,Real Madrid,74,1
2019,33,Barcelona,70,2
2019,33,Atletico Madrid,59,3
2019,33,Sevilla,57,4
2019,33,Villarreal,54,5
2019,33,Getafe,52,6
2019,33,Real Sociedad,50,7
2019,33,Athletic Club,48,8
2019,33,Granada CF,46,9
2019,33,Valencia,46,10
2019,33,Osasuna,44,11
2019,33,Levante,42,12
2019,33,Real Betis,37,13
2019,33,Valladolid,36,14
2019,33,Alaves,35,15
2019,33,Eibar,35,16
2019,33,Celta Vigo,34,17
2019,33,Mallorca,29,18
2019,33,Leganes,25,19
2019,33,Espanyol,24,20
2019,34,Real Madrid,77,1
2019,34,Barcelona,73,2
2019,34,Atletico Madrid,62,3
2019,34,Sevilla,60,4
2019,34,Villarreal,54,5
2019,34,Getafe,53,6
2019,34,Real Sociedad,51,7
2019,34,Athletic Club,48,8
2019,34,Granada CF,47,9
2019,34,Valencia,47,10
2019,34,Osasuna,45,11
2019,34,Levante,43,12
2019,34,Valladolid,39,13
2019,34,Real Betis,38,14
2019,34,Alaves,35,15
2019,34,Celta Vigo,35,16
2019,34,Eibar,35,17
2019,34,Mallorca,29,18
2019,34,Leganes,28,19
2019,34,Espanyol,24,20
2019,35,Real Madrid,80,1
2019,35,Barcelona,76,2
2019,35,Atletico Madrid,63,3
2019,35,Sevilla,63,4
2019,35,Villarreal,57,5
2019,35,Getafe,53,6
2019,35,Real Sociedad,51,7
2019,35,Granada CF,50,8
2019,35,Valencia,50,9
2019,35,Athletic Club,48,10
2019,35,Osasuna,45,11
2019,35,Levante,43,12
2019,35,Real Betis,41,13
2019,35,Valladolid,39,14
2019,35,Celta Vigo,36,15
2019,35,Eibar,36,16
2019,35,Alaves,35,17
2019,35,Mallorca,32,18
2019,35,Leganes,29,19
2019,35,Espanyol,24,20
2019,36,Real Madrid,83,1
2019,36,Barcelona,79,2
2019,36,Atletico Madrid,66,3
2019,36,Sevilla,66,4
2019,36,Villarreal,57,5
2019,36,Getafe,54,6
2019,36,Real Sociedad,54,7
2019,36,Athletic Club,51,8
2019,36,Granada CF,50,9
2019,36,Valencia,50,10
2019,36,Osasuna,48,11
2019,36,Levante,43,12
2019,36,Real Betis,41,13
2019,36,Eibar,39,14
2019,36,Valladolid,39,15
2019,36,Alaves,36,16
2019,36,Celta Vigo,36,17
2019,36,Leganes,32,18
2019,36,Mallorca,32,19
2019,36,Espanyol,24,20
2019,37,Real Madrid,86,1
2019,37,Barcelona,79,2
2019,37,Atletico Madrid,69,3
2019,37,Sevilla,67,4
2019,37,Villarreal,57,5
2019,37,Real Sociedad,55,6
2019,37,Getafe,54,7
2019,37,Granada CF,53,8
2019,37,Valencia,53,9
2019,37,Athletic Club,51,10
2019,37,Osasuna,51,11
2019,37,Levante,46,12
2019,37,Eibar,42,13
2019,37,Real Betis,41,14
2019,37,Alaves,39,15
2019,37,Valladolid,39,16
2019,37,Celta Vigo,36,17
2019,37,Leganes,35,18
2019,37,Mallorca,32,19
2019,37,Espanyol,24,20
2019,38,Real Madrid,87,1
2019,38,Barcelona,82,2
2019,38,Atletico Madrid,70,3
2019,38,Sevilla,70,4
2019,38,Villarreal,60,5
2019,38,Granada CF,56,6
2019,38,Real Sociedad,56,7
2019,38,Getafe,54,8
2019,38,Valencia,53,9
2019,38,Osasuna,52,10
2019,38,Athletic Club,51,11
2019,38,Levante,49,12
2019,38,Eibar,42,13
2019,38,Valladolid,42,14
2019,38,Real Betis,41,15
2019,38,Alaves,39,16
2019,38,Celta Vigo,37,17
2019,38,Leganes,36,18
2019,38,Mallorca,33,19
2019,38,Espanyol,25,20
